Sexo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
h,2. Falso,3. Ni verdadero ni falso,2. Falso,2. Falso,4.Verdadero,2.Falso,2.Falso,5.Completamente verdadero,3.Ni verdadero ni falso,2.falso,2.Falso,4.Verdadero,2.Falso,1.Completamente falso,2.Falso,4.Verdadero,4.Verdadero,2.Falso,2.Falso,3.Ni verdadero ni falso,4.Verdadero,1.Completamente falso,4.Verdadero,5.Completamente verdadero,2.Falso,4.Verdadero,2.Falso,5.Completamente verdadero,5.Completamente verdadero
h,1. Completamente falso,3. Ni verdadero ni falso,5. Completamente verdadero,1. Completamente falso,5.Completamente verdadero,3.Ni verdadero ni falso,1.Completamente falso,3.Ni verdadero ni falso,1.Completamente falso,1.Completamente falso,3.Ni verdadero ni falso,3.Ni verdadero ni falso,3.Niverdadero ni falso,3.Ni verdadero ni falso,3.Ni verdadero ni falso,3.Ni verdadero ni falso,3.Ni verdadero ni falso,1.Completamente falso,1.Completamente falso,5.Completamente verdadero,1.Completamente falso,1.Completamente falso,3.Ni verdadero ni falso,1.Completamente falso,1.Completamente falso,5.Completamente verdadero,1.Completamente falso,5.Completamente verdadero,1.Completamente falso
h,5. Completamente verdadero,4. Verdadero,3. Ni verdadero ni falso,5.Completamente verdadero,5.Completamente verdadero,4.Verdadero,3.Ni verdadero ni falso,4.Verdadero,5.Completamente verdadero,4.Verdadero,5.Completamente Verdadero,4.Verdadero,3.Niverdadero ni falso,4.Verdadero,2.Falso,4.Verdadero,5.Completamente verdadero,2.Falso,4.Verdadero,5.Completamente verdadero,3.Ni verdadero ni falso,5.Completamente verdadero,4.Verdadero,3.Ni verdadero Ni falso,4.Verdadero,4.Verdadero,3.Ni verdadero ni falso,5.Completamente verdadero,5.Completamente verdadero
h,3. Ni verdadero ni falso,4. Verdadero,4.Verdadero,2. Falso,4.Verdadero,4.Verdadero,3.Ni verdadero ni falso,4.Verdadero,3.Ni verdadero ni falso,4.Verdadero,5.Completamente Verdadero,3.Ni verdadero ni falso,2.Falso,3.Ni verdadero ni falso,4.Verdadero,3.Ni verdadero ni falso,3.Ni verdadero ni falso,2.Falso,3.Ni verdadero ni falso,3.Ni verdadero ni falso,3.Ni verdadero ni falso,2.Falso,4.Verdadero,4.Verdadero,2.Falso,4.Verdadero,2.Falso,4.Verdadero,4.Verdadero
h,4. Verdadero,4. Verdadero,2. Falso,2. Falso,4.Verdadero,2.Falso,2.Falso,2.Falso,4.Verdadero,4.Verdadero,2.Falso,3.Ni verdadero ni falso,3.Niverdadero ni falso,3.Ni verdadero ni falso,4.Verdadero,3.Ni verdadero ni falso,4.Verdadero,2.Falso,2.Falso,4.Verdadero,4.Verdadero,2.Falso,4.Verdadero,2.Falso,2.Falso,4.Verdadero,2.Falso,4.Verdadero,2.Falso
h,4. Verdadero,5. Completamente verdadero,5. Completamente verdadero,3. Ni verdadero ni falso,5.Completamente verdadero,5.Completamente verdadero,5.Completamente verdadero,4.Verdadero,5.Completamente verdadero,4.Verdadero,4.Verdadero,3.Ni verdadero ni falso,3.Niverdadero ni falso,3.Ni verdadero ni falso,3.Ni verdadero ni falso,3.Ni verdadero ni falso,3.Ni verdadero ni falso,4.Verdadero,4.Verdadero,5.Completamente verdadero,4.Verdadero,5.Completamente verdadero,5.Completamente verdadero,3.Ni verdadero Ni falso,5.Completamente verdadero,4.Verdadero,2.Falso,5.Completamente verdadero,3.Ni verdadero ni falso
h,3. Ni verdadero ni falso,3. Ni verdadero ni falso,4.Verdadero,3. Ni verdadero ni falso,4.Verdadero,3.Ni verdadero ni falso,3.Ni verdadero ni falso,3.Ni verdadero ni falso,2.Falso,3.Ni verdadero ni falso,3.Ni verdadero ni falso,3.Ni verdadero ni falso,2.Falso,3.Ni verdadero ni falso,3.Ni verdadero ni falso,4.Verdadero,2.Falso,3.Ni verdadero ni falso,4.Verdadero,3.Ni verdadero ni falso,3.Ni verdadero ni falso,4.Verdadero,3.Ni verdadero ni falso,3.Ni verdadero Ni falso,3.Ni verdadero ni falso,3.Ni verdadero ni falso,3.Ni verdadero ni falso,4.Verdadero,4.Verdadero
h,1. Completamente falso,3. Ni verdadero ni falso,4.Verdadero,2. Falso,4.Verdadero,3.Ni verdadero ni falso,4.Verdadero,4.Verdadero,4.Verdadero,3.Ni verdadero ni falso,2.Falso,4.Verdadero,1.Completamente falso,3.Ni verdadero ni falso,5.Completamente verdadero,4.Verdadero,4.Verdadero,3.Ni verdadero ni falso,3.Ni verdadero ni falso,2.Falso,2.Falso,2.Falso,3.Ni verdadero ni falso,5.Completamente verdadero,3.Ni verdadero ni falso,4.Verdadero,1.Completamente falso,4.Verdadero,4.Verdadero
h,2. Falso,4. Verdadero,2. Falso,3. Ni verdadero ni falso,5.Completamente verdadero,3.Ni verdadero ni falso,4.Verdadero,1.Completamente falso,5.Completamente verdadero,2.falso,2.Falso,3.Ni verdadero ni falso,4.Verdadero,1.Completamente falso,4.Verdadero,3.Ni verdadero ni falso,4.Verdadero,4.Verdadero,4.Verdadero,2.Falso,3.Ni verdadero ni falso,4.Verdadero,4.Verdadero,4.Verdadero,2.Falso,2.Falso,2.Falso,4.Verdadero,4.Verdadero
h,1. Completamente falso,3. Ni verdadero ni falso,1. Completamente  falso,1. Completamente falso,2.Falso,3.Ni verdadero ni falso,2.Falso,4.Verdadero,5.Completamente verdadero,4.Verdadero,1.Completamente falso,2.Falso,2.Falso,3.Ni verdadero ni falso,4.Verdadero,2.Falso,4.Verdadero,3.Ni verdadero ni falso,2.Falso,3.Ni verdadero ni falso,1.Completamente falso,1.Completamente falso,2.Falso,1.Completamente falso,2.Falso,3.Ni verdadero ni falso,4.Verdadero,4.Verdadero,1.Completamente falso
